03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;42;50 a 54 anos;  5 736;   354;  1 279;  2 695;   951;   457;50 a 54 anos;7,9;6,9;7,1;8,3;8,7;7,7;50 a 54 anos;82,9;77,8;74,4;86,6;84,2;91,6;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;43;55 a 59 anos;  4 568;   241;   998;  2 181;   797;   351;55 a 59 anos;6,3;4,7;5,5;6,7;7,3;5,9;55 a 59 anos;77,9;70,5;70,8;79,9;81,8;85,6;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;44;60 anos ou mais;  8 997;   464;  2 047;  4 279;  1 525;   681;60 anos ou mais;12,4;9,0;11,3;13,1;14,0;11,4;60 anos ou mais;54,8;52,0;48,0;55,8;58,8;67,5;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;46;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;1;Tabela 1.3.2.1 -  Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;Tabela 1.3.2.2 - Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;3;Sexo e grupos de idade;Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e grupos de idade;Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%);;;;;;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;6;Total;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Total;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;7;10 a 14 anos;  7 279;  1 073;  2 842;  2 158;   767;   438;10 a 14 anos;18,9;23,5;19,3;16,4;17,3;25,1;;;;;;;;;;;;;;;;
